Date,Open,High,Low,Close,Volume
2020-07-02,1451.84,1488.52,1451.065,1469.93,2860915
2020-07-01,1419.17,1448.48,1414.18,1442.0,2109124
2020-06-30,1396.88,1424.0,1386.9301,1418.05,2014320
2020-06-29,1360.34,1398.0,1351.65,1397.17,2253678
2020-06-26,1432.63,1437.02,1355.0,1362.54,4882014
2020-06-25,1431.22,1442.32,1419.5401,1441.1,1197907
2020-06-24,1463.28,1475.79,1430.0,1432.7,1579579
2020-06-23,1452.0,1475.2,1445.0,1463.98,1887583
2020-06-22,1425.01,1450.95,1419.19,1450.66,1472072
2020-06-19,1440.0,1444.5,1419.0,1424.64,2639167
2020-06-18,1449.85,1452.9699,1426.235,1434.12,1743071
2020-06-17,1452.94,1462.2,1435.125,1452.54,1530500
2020-06-16,1449.0,1457.17,1428.99,1446.47,1534826
2020-06-15,1389.49,1425.0,1387.1952,1420.74,1527652
2020-06-12,1425.86,1434.505,1385.8,1412.92,1833756
2020-06-11,1441.03,1451.6033,1398.41,1401.9,2357243
2020-06-10,1461.51,1472.77,1454.355,1464.7,1588116
2020-06-09,1445.24,1467.8,1442.36,1452.08,1681155
2020-06-08,1426.28,1449.0,1424.48,1448.04,1693881
2020-06-05,1415.64,1446.3,1407.6213,1440.02,2132350
2020-06-04,1436.78,1441.32,1406.01,1414.3,1349105
2020-06-03,1442.7,1449.01,1431.62,1439.25,1386640
2020-06-02,1435.0,1443.0,1421.61,1442.31,1172069
2020-06-01,1425.7,1441.58,1422.28,1434.87,1259254
2020-05-29,1420.43,1436.73,1415.98,1433.52,1852522
2020-05-28,1400.0,1444.46,1399.076,1418.24,1759787
2020-05-27,1420.0,1425.345,1394.6,1420.28,1584185
2020-05-26,1441.96,1445.11,1419.395,1421.37,2229488
2020-05-22,1403.9,1417.0,1395.95,1413.24,1427206
2020-05-21,1410.99,1416.46,1394.39,1406.75,1544976
